Name,Type,Level,Race,Attribute,ATK,DEF,LCK,Release_date,Rare
Summoner Monk,Effect Monster,4,Spellcaster,DARK,800,1600,6.93,31/05/2012,True
Gearfried the Iron Knight,Effect Monster,4,Warrior,EARTH,1800,1600,6.85,11/05/2014,True
Goblin of Greed,Effect Monster,4,Fiend,EARTH,1000,1800,0.09,14/01/1999,True
Bahamut Shark,XYZ Monster,4,Sea Serpent,WATER,2600,2100,2.5,17/07/2017,False
The Book of the Law,Spell Card,,Quick-Play,,,,9.71,28/06/2015,False
Frightfur Tiger,Fusion Monster,6,Fiend,DARK,1900,1200,9.78,26/03/2002,True
Driving Snow,Trap Card,,Normal,,,,5.03,30/08/2013,True
Water Spirit,Normal Tuner Monster,1,Aqua,WATER,400,1200,8.93,22/05/2019,True
Superheavy Samurai Warlord Susanowo,Synchro Monster,10,Machine,EARTH,2400,3800,7.46,25/11/2007,False
Cherry Inmato,Tuner Monster,2,Plant,DARK,700,400,9.57,13/01/2016,True
Prevent Rat,Normal Monster,4,Beast,EARTH,500,2000,3.22,10/06/2002,False
Totem Dragon,Effect Monster,2,Dragon,EARTH,400,200,2.91,17/03/2016,True
PSY-Frame Circuit,Spell Card,,Field,,,,5.92,13/09/2018,True
Daigusto Emeral,XYZ Monster,4,Rock,WIND,1800,800,5.94,01/11/2006,False
Snake Fang,Trap Card,,Normal,,,,8.93,07/07/2018,False
Malefic Rainbow Dragon,Effect Monster,10,Dragon,DARK,4000,0,5.05,25/10/2001,True
"Virgil, Rock Star of the Burning Abyss",Synchro Monster,6,Spellcaster,LIGHT,2500,1000,9.9,14/12/2011,True
Gladiator Beast Retiari,Effect Monster,3,Aqua,WATER,1200,800,3.94,01/10/2012,False
Majespecter Toad - Ogama,Pendulum Effect Monster,4,Spellcaster,WIND,1300,500,1.25,10/02/2013,False
Alien Ammonite,Tuner Monster,1,Reptile,LIGHT,500,200,3.04,19/12/2015,False
Dark Eruption,Spell Card,,Normal,,,,3.18,12/06/2019,True
Zodiac Sign,Spell Card,,Field,,,,0.74,30/06/2007,False
Solar Recharge,Spell Card,,Normal,,,,6.36,30/12/2003,False
Thunder End Dragon,XYZ Monster,8,Dragon,LIGHT,3000,2000,5.06,20/02/2015,False
Atlantean Marksman,Effect Monster,3,Sea Serpent,WATER,1400,0,8.46,13/11/2003,True
Amazoness Village,Spell Card,,Field,,,,9.57,02/04/2005,False
Temple of Skulls,Normal Monster,4,Zombie,DARK,900,1300,3.24,14/06/2012,True
"Rubic, Malebranche of the Burning Abyss",Tuner Monster,3,Fiend,DARK,100,2100,8.07,05/03/1999,True
Doron,Normal Monster,2,Warrior,EARTH,900,500,2.91,06/11/2009,False
Hiita the Fire Charmer,Flip Effect Monster,3,Spellcaster,FIRE,500,1500,5.25,21/05/2006,False
Empress of Prophecy,XYZ Monster,5,Spellcaster,LIGHT,2000,1700,5.26,25/02/2009,False
Super Soldier Shield,Trap Card,,Counter,,,,8.45,09/02/2016,True
Number Wall,Trap Card,,Continuous,,,,8.14,06/11/2009,True
Dragunity Arma Mystletainn,Effect Monster,6,Dragon,WIND,2100,1500,8.94,18/06/2018,False
Dragunity Knight - Gae Bulg,Synchro Monster,6,Dragon,WIND,2000,1100,5.93,21/09/2009,True
Vertical Landing,Spell Card,,Quick-Play,,,,9.84,14/05/2010,False
Unexpected Dai,Spell Card,,Normal,,,,3.89,07/03/1999,True
Gagagatag,Spell Card,,Normal,,,,3.99,07/03/2003,True
Geargiarmor,Effect Monster,4,Machine,EARTH,1100,1900,2.49,08/12/2008,False
Penalty Game!,Trap Card,,Normal,,,,6.69,14/05/2013,True
Armed Dragon LV3,Effect Monster,3,Dragon,WIND,1200,900,5.84,27/11/2019,True
Half Unbreak,Trap Card,,Normal,,,,3.46,29/09/2016,False
Rebound,Trap Card,,Counter,,,,1.81,11/03/2014,False
Expressroid,Effect Monster,4,Machine,EARTH,400,1600,7.96,29/03/2014,False
Doggy Diver,Effect Monster,4,Warrior,DARK,1000,1000,7.82,11/09/2012,True
Starlight Junktion,Spell Card,,Field,,,,0.34,12/04/2002,False
Void Trap Hole,Trap Card,,Normal,,,,1.75,04/07/2004,False
Junk Changer,Tuner Monster,3,Warrior,EARTH,1500,900,7.82,20/03/2018,True
Painful Decision,Spell Card,,Normal,,,,5,20/05/2008,False
Misfortune,Spell Card,,Normal,,,,8.61,14/12/2020,True
Geargiano Mk-II,Effect Monster,3,Machine,EARTH,1000,500,9.62,09/11/2006,False
Satellarknight Unukalhai,Effect Monster,4,Warrior,LIGHT,1800,1000,1.07,30/10/2009,True
Scrapyard,Spell Card,,Normal,,,,6.58,15/09/1999,True
Magic Planter,Spell Card,,Normal,,,,1.1,23/03/2011,True
Pyro Clock of Destiny,Trap Card,,Normal,,,,1.76,28/02/2018,False
Dark Mimic LV3,Effect Monster,3,Fiend,DARK,1000,1000,7.32,12/12/2018,False
Sargasso the D.D. Battlefield,Spell Card,,Field,,,,2.94,24/11/2009,True
Deck Lockdown,Spell Card,,Continuous,,,,1.8,03/11/2019,True
Paleozoic Leanchoilia,Trap Card,,Normal,,,,8.6,21/01/2017,True
Kojikocy,Normal Monster,4,Warrior,EARTH,1500,1200,3.73,21/07/2002,True
Mirror of Yata,Spell Card,,Equip,,,,4.13,09/12/2005,False
Malevolent Catastrophe,Trap Card,,Normal,,,,0.22,17/06/2019,True
Chain Destruction,Trap Card,,Normal,,,,2.59,28/10/2018,True
Herald of Pure Light,XYZ Monster,2,Fairy,LIGHT,600,1000,4.08,15/09/2014,False
Gem-Knight Fusion,Spell Card,,Normal,,,,8.85,26/05/2002,False
Kozmo Soartroopers,Effect Monster,3,Psychic,DARK,1000,1000,9.2,16/04/2004,True
Vylon Tetra,Tuner Monster,2,Machine,LIGHT,900,900,4.08,04/02/2011,False
Prime Material Falcon,Effect Monster,5,Winged Beast,WIND,2200,800,4.33,27/03/2013,False
T.G. Striker,Tuner Monster,2,Warrior,EARTH,800,0,1.74,22/09/2004,False
Mysterious Guard,Flip Effect Monster,3,Spellcaster,EARTH,800,1200,0.13,03/04/2018,True
"Valhalla, Hall of the Fallen",Spell Card,,Continuous,,,,1.89,01/12/2001,True
Ronintoadin,Effect Monster,2,Aqua,WATER,100,2000,5.38,26/04/2018,False
Photon Crusher,Effect Monster,4,Warrior,LIGHT,2000,0,1.75,19/08/2014,True
Vampire Koala,Effect Monster,4,Beast,EARTH,1800,1500,9.31,30/07/2007,True
Shared Ride,Spell Card,,Quick-Play,,,,7.76,29/10/2007,False
Hazy Flame Sphynx,Effect Monster,6,Beast-Warrior,FIRE,1900,1900,8.77,28/06/2017,True
Super Roboyarou,Fusion Monster,6,Machine,EARTH,1200,500,2.57,25/09/2006,False
Phantom Token,Token,,Fiend,,,,9.33,29/08/2012,False
Chaos Necromancer,Effect Monster,1,Fiend,DARK,0,0,5.06,15/04/2010,False
Dragon Treasure,Spell Card,,Equip,,,,3.19,16/02/2019,True
Bee List Soldier,Effect Monster,1,Insect,WIND,500,400,6.58,04/09/2006,True
Allure of Darkness,Spell Card,,Normal,,,,9.48,01/06/2016,False
Kagemusha of the Six Samurai,Tuner Monster,2,Warrior,EARTH,400,1800,0.45,11/09/2002,True
Rune-Eyes Pendulum Dragon,Fusion Monster,8,Dragon,DARK,3000,2000,4.15,21/08/2001,True
The Hunter with 7 Weapons,Effect Monster,3,Warrior,EARTH,1000,600,1.88,13/02/2002,False
R-Genex Magma,Effect Monster,3,Pyro,FIRE,1000,200,7.65,28/05/2017,False
Space Gift,Spell Card,,Normal,,,,3.39,27/08/2006,True
Cyber End Dragon,Fusion Monster,10,Machine,LIGHT,4000,2800,3.88,06/06/2001,False
Cyber End Dragon,Fusion Monster,10,Machine,LIGHT,4000,2800,2.7,20/08/2015,True
"Rose, Warrior of Revenge",Tuner Monster,4,Warrior,FIRE,1600,600,3.66,26/04/2012,False
Silver Bow and Arrow,Spell Card,,Equip,,,,9.54,19/05/2020,False
ABC-Dragon Buster,Fusion Monster,8,Machine,LIGHT,3000,2800,1.45,04/05/2013,False
White Ninja,Flip Effect Monster,4,Warrior,LIGHT,1500,800,0.52,11/09/2018,False
Deep-Space Cruiser IX,Effect Monster,9,Machine,LIGHT,900,900,2.62,28/02/2007,True
Dimension Fortress Weapon,Effect Monster,4,Machine,DARK,1700,200,9.61,30/04/2012,True
Dark Requiem Xyz Dragon,XYZ Monster,5,Dragon,DARK,3000,2500,6.6,25/01/2015,True
Grand Horn of Heaven,Trap Card,,Counter,,,,3.23,20/03/2005,True
Divine Dragon Knight Felgrand,XYZ Monster,8,Warrior,LIGHT,2800,1800,6.23,27/07/2015,False
Fusionist,Fusion Monster,3,Beast,EARTH,900,700,4.94,30/08/1999,True
Vylon Segment,Spell Card,,Equip,,,,4.02,05/03/2007,False
Brotherhood of the Fire Fist - Spirit,Tuner Monster,3,Beast-Warrior,FIRE,500,200,6.73,31/08/2017,True
Spell Purification,Trap Card,,Normal,,,,9.68,11/11/2011,False
Ultimaya Tzolkin,Synchro Monster,12,Dragon,DARK,0,0,9.53,02/12/2012,True
The Big March of Animals,Spell Card,,Quick-Play,,,,5.16,17/06/2004,False
PSY-Framegear Epsilon,Tuner Monster,2,Psychic,LIGHT,1500,0,4.29,30/10/1999,False
Malefic Cyber End Dragon,Effect Monster,10,Machine,DARK,4000,2800,4.47,26/05/2016,False
Nekogal 1,Normal Monster,3,Beast,EARTH,1100,900,4.79,22/03/2016,False
Fuh-Rin-Ka-Zan,Trap Card,,Normal,,,,0.87,29/03/2017,False
Uraby,Normal Monster,4,Dinosaur,EARTH,1500,800,2.66,15/01/2015,True
The Eye of Timaeus,Spell Card,,Normal,,,,9.19,23/06/2002,True
Centrifugal Field,Spell Card,,Field,,,,7.53,05/04/2012,True
Sealing Ceremony of Mokuton,Trap Card,,Continuous,,,,4.39,10/06/2000,True
Dark Coffin,Trap Card,,Normal,,,,3.24,03/06/2017,True
Toy Knight,Effect Monster,4,Machine,EARTH,200,1200,5.14,22/09/2013,True
Shadow of the Six Samurai - Shien,XYZ Monster,4,Warrior,EARTH,2500,400,1.09,20/06/2010,False
Heroic Challenger - Thousand Blades,Effect Monster,4,Warrior,EARTH,1300,1100,6.75,30/03/2000,True
Wattcine,Spell Card,,Continuous,,,,0.53,19/06/2007,True
Overdrive Teleporter,Effect Monster,6,Psychic,LIGHT,2100,1200,2.65,02/03/2006,False
Instant Fusion,Spell Card,,Normal,,,,7.76,07/09/2015,True
Bujintei Kagutsuchi,XYZ Monster,4,Beast-Warrior,LIGHT,2500,2000,2.49,28/03/2020,False
Dimension Explosion,Spell Card,,Quick-Play,,,,7.67,21/11/2016,True
Minor Goblin Official,Trap Card,,Continuous,,,,5.27,25/12/2008,True
Key Mace,Normal Monster,1,Fairy,LIGHT,400,300,0.34,10/06/2012,True
Elemental HERO Nova Master,Fusion Monster,8,Warrior,FIRE,2600,2100,7.83,11/10/1999,False
Ancient Gear Engineer,Effect Monster,5,Machine,EARTH,1500,1500,1.53,16/12/2011,True
Mokey Mokey Smackdown,Spell Card,,Continuous,,,,4.46,17/12/2015,False
Puppet Ritual,Spell Card,,Normal,,,,3.39,19/10/2001,False
Silent Swordsman LV3,Effect Monster,3,Warrior,LIGHT,1000,1000,3.91,24/08/2006,False
Blackwing - Gale the Whirlwind,Tuner Monster,3,Winged Beast,DARK,1300,400,4.14,07/02/1999,True
Hidden Soldiers,Trap Card,,Normal,,,,5.96,31/10/2001,True
Time-Space Trap Hole,Trap Card,,Normal,,,,4.05,29/01/2004,False
Gladiator Beast Lanista,Effect Monster,4,Winged Beast,WIND,1800,1200,0.9,05/12/2011,True
Wetlands,Spell Card,,Field,,,,6.89,27/11/2008,True
Worm Victory,Flip Effect Monster,7,Reptile,LIGHT,0,2500,6.5,09/05/2017,False
Constellar Praesepe,XYZ Monster,4,Machine,LIGHT,2400,800,6.65,20/09/2003,False
"Bixi, Water of the Yang Zing",Effect Monster,2,Wyrm,WATER,0,2000,2.89,10/06/2012,False
Smile World,Spell Card,,Normal,,,,2.71,29/09/2013,True
XY-Dragon Cannon,Fusion Monster,6,Machine,LIGHT,2200,1900,6.93,15/05/2014,True
Hyosube,Normal Monster,4,Aqua,WATER,1500,900,8.26,31/07/2014,True
Trap Reclamation,Trap Card,,Normal,,,,7.09,28/08/2011,True
Blue-Eyes Twin Burst Dragon,Fusion Monster,10,Dragon,LIGHT,3000,2500,6.66,04/02/2010,False
Numinous Healer,Trap Card,,Normal,,,,9.45,30/10/2020,True
Asura Priest,Spirit Monster,4,Fairy,LIGHT,1700,1200,4.28,30/05/2007,True
Meklord Army of Granel,Effect Monster,4,Machine,EARTH,1600,1200,2.75,22/07/2011,False
Armor Ninjitsu Art of Rust Mist,Trap Card,,Continuous,,,,4.71,09/09/2001,False
Cyber Prima,Effect Monster,6,Warrior,LIGHT,2300,1600,2.87,18/06/2018,True
Night Papilloperative,XYZ Monster,4,Warrior,DARK,2600,2000,2.08,17/09/2001,True
Gambler of Legend,Effect Monster,4,Spellcaster,DARK,500,1400,3.15,23/03/2011,False
XX-Saber Hyunlei,Synchro Monster,6,Warrior,EARTH,2300,1300,7.57,21/04/2008,False
Book of Life,Spell Card,,Normal,,,,9.31,26/06/2019,False
Morphtronic Staplen,Effect Monster,4,Machine,EARTH,1400,1000,0.32,27/01/2019,False
Satellarknight Altair,Effect Monster,4,Warrior,LIGHT,1700,1300,6.17,11/10/2001,False
One for One,Spell Card,,Normal,,,,7.14,17/05/2015,False
Symbol of Friendship,Spell Card,,Normal,,,,5.87,06/01/2020,True
Overdrive,Normal Monster,4,Machine,EARTH,1600,1500,1.49,07/07/2020,False
Dark Magic Attack,Spell Card,,Normal,,,,6.43,29/11/2015,True
Princess Curran,Effect Monster,4,Spellcaster,DARK,2000,0,2.35,13/11/2016,True
Road Warrior,Synchro Monster,8,Warrior,LIGHT,3000,1500,0.69,22/06/2006,True
Des Lacooda,Effect Monster,3,Zombie,EARTH,500,600,2.98,09/07/2018,True
Tyr of the Nordic Champions,Effect Monster,4,Warrior,LIGHT,2000,2000,9.58,08/08/2007,False
Great Long Nose,Spirit Monster,5,Beast-Warrior,DARK,1900,1700,4.58,20/11/2004,False
Pendulum Area,Trap Card,,Normal,,,,8.51,27/03/2004,True
Light of Redemption,Spell Card,,Normal,,,,5.25,26/05/2003,False
Steel Shell,Spell Card,,Equip,,,,9.09,05/04/2020,True
Xyz Reflect,Trap Card,,Counter,,,,8.9,27/07/2007,True
Paleozoic Eldonia,Trap Card,,Normal,,,,2.68,21/01/2020,False
Neo Flamvell Hedgehog,Tuner Monster,3,Pyro,FIRE,800,200,2.55,30/10/2014,True
Steel Cavalry of Dinon,Pendulum Effect Monster,4,Dinosaur,EARTH,1600,2600,6.25,16/02/2017,True
Power Tool Dragon,Synchro Monster,7,Machine,EARTH,2300,2500,3.99,15/05/2001,False
Laval Volcano Handmaiden,Tuner Monster,1,Pyro,FIRE,100,200,6.43,25/01/2006,True
"Shire, Lightsworn Spirit",Effect Monster,3,Fairy,LIGHT,400,1400,4.74,22/01/2000,True
Marauding Captain,Effect Monster,3,Warrior,EARTH,1200,400,3.78,02/02/2001,False
Inzektor Ladybug,Effect Monster,2,Insect,DARK,500,100,5.77,16/05/2006,False
Sealmaster Meisei,Normal Monster,3,Spellcaster,DARK,1100,900,1.23,08/03/1999,False
Water Omotics,Normal Monster,4,Aqua,WATER,1400,1200,9.31,09/10/2019,True
Skull Knight,Fusion Monster,7,Spellcaster,DARK,2650,2250,6.98,13/02/2015,True
Legendary Six Samurai - Kageki,Effect Monster,3,Warrior,WIND,200,2000,7.54,22/05/2009,True
Sky Galloping Gaia the Dragon Champion,Fusion Monster,7,Dragon,WIND,2600,2100,9.13,22/12/2009,True
Brotherhood of the Fire Fist - Swallow,Effect Monster,5,Beast-Warrior,FIRE,2000,800,4.99,27/01/2017,True
"Defender, the Magical Knight",Effect Monster,4,Spellcaster,LIGHT,1600,2000,5.62,04/05/2000,True
Galaxy-Eyes Cipher Blade Dragon,XYZ Monster,9,Dragon,LIGHT,3200,2800,5.95,03/07/2009,False
Red Cocoon,Trap Card,,Normal,,,,3.27,28/05/2002,False
Majespecter Tempest,Trap Card,,Counter,,,,3.57,03/03/2005,False
Shocktopus,Effect Monster,4,Fish,WATER,1600,800,4.74,04/08/2004,False
Wizard Buster Destruction Sword,Effect Monster,3,Spellcaster,DARK,1200,900,0.33,26/04/2010,True
Photon Chargeman,Effect Monster,4,Warrior,LIGHT,1000,1000,0.62,20/07/2007,True
Gladiator Beast Samnite,Effect Monster,3,Beast,EARTH,1600,1200,9.46,25/04/2019,False
ZW - Sleipnir Mail,Effect Monster,4,Beast,LIGHT,1000,1000,3.21,05/04/2018,False
Hyper Hammerhead,Effect Monster,4,Dinosaur,EARTH,1500,1200,1.99,03/05/2000,False
Medusa Worm,Effect Monster,2,Rock,EARTH,500,600,4.89,23/11/2020,True
Fluffal Cat,Effect Monster,1,Fairy,EARTH,700,300,4.74,27/06/2008,True
Decoy Dragon,Effect Monster,2,Dragon,FIRE,300,200,0.49,08/03/2020,True
Crystron Phoenix,Synchro Monster,9,Machine,WATER,2800,2000,6.6,21/09/2012,False
Graydle Impact,Spell Card,,Continuous,,,,2.92,27/04/2007,False
Daigusto Phoenix,XYZ Monster,2,Pyro,WIND,1500,1100,4.45,03/08/2000,True
Wattchimera,Synchro Monster,6,Thunder,LIGHT,1400,1200,2.51,30/04/2006,True
Wall of Thorns,Trap Card,,Normal,,,,4.57,21/11/2004,False
Majesty with Eyes of Blue,Spell Card,,Quick-Play,,,,4.56,21/05/2011,True
Servant of Catabolism,Effect Monster,3,Aqua,LIGHT,700,500,2.01,25/06/2009,False
PSY-Framegear Beta,Tuner Monster,1,Psychic,LIGHT,700,0,3.09,15/12/2011,False
Flame Viper,Normal Monster,2,Pyro,EARTH,400,450,1.52,19/07/2007,False
Rainbow Kuriboh,Effect Monster,1,Fiend,LIGHT,100,100,8.4,14/09/2014,False
D. Tribe,Trap Card,,Normal,,,,9.31,24/02/2008,False
Nimble Sunfish,Effect Monster,2,Fish,WATER,1000,100,7.76,08/07/2003,True
Reflect Bounder,Effect Monster,4,Machine,LIGHT,1700,1000,4.74,14/01/2003,False
Tribute Doll,Spell Card,,Normal,,,,8.65,13/11/2003,True
Grappler,Normal Monster,4,Reptile,WATER,1300,1200,9.61,29/07/2015,False
Karakuri Cash Shed,Trap Card,,Counter,,,,1.81,14/06/2001,True
Curse of Royal,Trap Card,,Counter,,,,1.45,18/04/2005,False
Gogogo Golem - Golden Form,Effect Monster,4,Rock,EARTH,0,1500,7.32,27/04/2000,True
Naturia Barkion,Synchro Monster,6,Dragon,EARTH,2500,1800,2.36,10/09/2009,True
Wicked Dragon with the Ersatz Head,Normal Monster,3,Dragon,WIND,900,900,8.79,05/08/2015,False
Ryu-Ran,Normal Monster,7,Dragon,FIRE,2200,2600,6.45,19/09/2006,False
Orion the Battle King,Normal Monster,5,Fairy,LIGHT,1800,1500,0.69,21/11/2014,True
Consecrated Light,Effect Monster,1,Fairy,LIGHT,0,0,9.03,18/12/2020,True
Twilight Rose Knight,Tuner Monster,3,Warrior,DARK,1000,1000,7.23,23/01/2010,True
Cyberdark Keel,Effect Monster,4,Machine,DARK,800,800,0.95,02/03/2012,True
Fake Trap,Trap Card,,Normal,,,,0.9,11/07/2000,True
Test Ape,Effect Monster,2,Beast,EARTH,700,300,3.16,26/03/2013,False
Trap of Board Eraser,Trap Card,,Counter,,,,8.51,07/03/2012,True
Invader of the Throne,Flip Effect Monster,4,Warrior,EARTH,1350,1700,3.39,27/04/2007,True
Superheavy Samurai Soulbang Cannon,Effect Monster,3,Machine,EARTH,1000,1000,7.74,26/11/1999,False
Snow Dragon,Effect Monster,4,Dragon,WATER,1400,900,2.1,06/01/2007,False
Return Zombie,Effect Monster,4,Zombie,DARK,1000,1600,6.44,26/01/2009,False
Blackwing - Hillen the Tengu-wind,Tuner Monster,5,Winged Beast,DARK,0,2300,9.71,22/06/2013,True
Yata-Garasu,Spirit Monster,2,Fiend,WIND,200,100,3.09,12/07/2020,True
Brilliant Spark,Trap Card,,Normal,,,,0.07,22/09/2012,False
Gem-Knight Seraphinite,Fusion Monster,5,Fairy,EARTH,2300,1400,1.72,24/06/2015,True
Superheavy Samurai Big Benkei,Effect Monster,8,Machine,EARTH,1000,3500,6,22/04/2014,True
Tiki Curse,Trap Card,,Continuous,,,,0.19,21/04/2014,False
Flying Kamakiri 2,Normal Monster,4,Insect,WIND,1500,800,8.07,07/12/2007,False
Level Limit - Area B,Spell Card,,Continuous,,,,6.49,31/07/2001,True
Psychic Reactor,Trap Card,,Normal,,,,3.25,26/03/2003,False
Tutan Mask,Trap Card,,Counter,,,,1.69,17/02/2011,True
Exchange of Night and Day,Trap Card,,Continuous,,,,5.79,15/06/2002,False
Puppet King,Effect Monster,7,Warrior,EARTH,2800,2600,7.08,29/09/2004,False
Takuhee,Normal Monster,4,Winged Beast,WIND,1450,1000,8.99,18/02/2007,False
Chain Dispel,Trap Card,,Normal,,,,0.99,30/08/2012,True
Worm Solid,Effect Monster,4,Reptile,LIGHT,1000,1600,6.85,21/03/2014,False
Forbidden Apocrypha,Trap Card,,Normal,,,,8.63,17/07/2006,False
Shield Spear,Trap Card,,Normal,,,,1.76,18/12/2000,True
Sixth Sense,Trap Card,,Normal,,,,5.9,18/10/2019,False
Evoltile Lagosucho,Effect Monster,3,Reptile,FIRE,1200,500,4.93,20/06/2002,False
The Phantom Knights' Rank-Up-Magic Launch,Spell Card,,Quick-Play,,,,7.26,03/12/2009,True
Hieratic Dragon of Su,Effect Monster,6,Dragon,LIGHT,2200,1000,2.45,16/10/2005,True
Alligator's Sword Dragon,Fusion Monster,5,Dragon,WIND,1700,1500,9.54,01/10/2009,False
Cyber Phoenix,Effect Monster,4,Machine,FIRE,1200,1600,8.53,15/12/2007,False
Gravekeeper's Priestess,Effect Monster,3,Spellcaster,DARK,1000,1500,1.85,30/04/2012,True
Mozarta the Melodious Maestra,Effect Monster,8,Fairy,LIGHT,2600,2000,6.24,23/11/2012,False
C-Crush Wyvern,Union Effect Monster,4,Machine,LIGHT,1200,2000,4.93,17/04/2011,True
"Buster Blader, the Destruction Swordmaster",Effect Monster,7,Warrior,EARTH,2600,2300,5.23,29/08/2009,True
Drill Warrior,Synchro Monster,6,Warrior,EARTH,2400,2000,0.66,24/02/2015,True
Assault Beast,Effect Monster,4,Beast-Warrior,EARTH,1900,1200,6.55,09/03/2003,False
Insect Armor with Laser Cannon,Spell Card,,Equip,,,,7.47,04/04/2007,False
Dicephoon,Spell Card,,Quick-Play,,,,4.37,10/10/2000,False
Don Turtle,Effect Monster,3,Reptile,WATER,1100,1200,4.72,09/09/2003,True
Stealth Bird,Effect Monster,3,Winged Beast,DARK,700,1700,9.43,26/08/2018,True
Coach Soldier Wolfbark,Effect Monster,4,Beast-Warrior,FIRE,1600,1200,1.19,24/01/2004,False
Evilswarm Zahak,Effect Monster,4,Dragon,DARK,1850,850,2.66,25/05/2007,True
Dice Jar,Flip Effect Monster,3,Rock,LIGHT,200,300,4.45,18/02/2017,False
White Duston,Normal Monster,1,Fiend,LIGHT,0,1000,0.34,07/02/2003,False
Swordsman of Landstar,Normal Monster,3,Warrior,EARTH,500,1200,2.04,23/05/2001,True
Crystolic Potential,Spell Card,,Field,,,,0.59,27/05/2005,True
Merlin,Effect Monster,3,Spellcaster,DARK,1400,500,4.11,23/05/2019,False
Shreddder,Effect Monster,4,Machine,EARTH,1600,1000,3.82,02/06/2003,True
One Who Hunts Souls,Normal Monster,4,Beast-Warrior,EARTH,1100,1000,0.85,01/11/2001,True
Gagaga Girl,Effect Monster,3,Spellcaster,DARK,1000,800,7.03,17/02/2018,False
Skull Guardian,Ritual Monster,7,Warrior,LIGHT,2050,2500,1.15,08/03/2016,False
Cyber Angel Idaten,Ritual Effect Monster,6,Fairy,LIGHT,1600,2000,7,23/09/2018,False
Elemental HERO Great Tornado,Fusion Monster,8,Warrior,WIND,2800,2200,5.44,18/03/2019,True
The Legendary Fisherman,Effect Monster,5,Warrior,WATER,1850,1600,1.08,25/12/2015,False
Ally of Justice Searcher,Effect Monster,3,Machine,DARK,1400,100,6.03,23/09/2014,True
Cyber Valley,Effect Monster,1,Machine,LIGHT,0,0,9.52,21/09/2010,False
Overload Fusion,Spell Card,,Normal,,,,7.14,14/01/2015,False
